CO_PAIS;CO_PAIS_ISON3;CO_PAIS_ISOA3;NO_PAIS;NO_PAIS_ING;NO_PAIS_ESP
461;462;MDV;Maldivas;Maldives;Maldivas
464;466;MLI;Mali;Mali;Mali
467;470;MLT;Malta;Malta;Malta
472;580;MNP;Marianas do Norte, Ilhas;Northern Marianas;Marianas Septentrionales, Islas
474;504;MAR;Marrocos;Morocco;Marruecos
476;584;MHL;Marshall, Ilhas;Marshall Islands;Islas Marshall
477;474;MTQ;Martinica;Martinique;Martinica
485;480;MUS;Maurício;Mauritius;Mauricio
488;478;MRT;Mauritânia;Mauritania;Mauritania
493;484;MEX;México;Mexico;México
93;104;MMR;Mianmar;Myanmar;Myanmar
499;583;FSM;Micronésia;Micronesia;Micronesia
505;508;MOZ;Moçambique;Mozambique;Mozambique
494;498;MDA;Moldávia;Moldova;Moldova, República de
497;496;MNG;Mongólia;Mongolia;Mongolia
498;499;MNE;Montenegro;Montenegro;Montenegro
501;500;MSR;Montserrat;Montserrat;Montserrat
507;516;NAM;Namíbia;Namibia;Namibia
517;524;NPL;Nepal;Nepal;Nepal
521;558;NIC;Nicarágua;Nicaragua;Nicaragua
525;562;NER;Níger;Niger;Níger
528;566;NGA;Nigéria;Nigeria;Nigeria
538;579;NOR;Noruega;Norway;Noruega
542;540;NCL;Nova Caledônia;New Caledonia;Nueva Caledonia
548;554;NZL;Nova Zelândia;New Zealand;Nueva Zelanda
556;512;OMN;Omã;Oman;Omán
573;528;NLD;Países Baixos (Holanda);Netherlands;Países Bajos
575;585;PLW;Palau;Palau;Palau
578;275;PSE;Palestina;Palestine;Palestina
580;591;PAN;Panamá;Panama;Panamá
545;598;PNG;Papua Nova Guiné;Papua New Guinea;Papua Nueva Guinea
576;586;PAK;Paquistão;Pakistan;Pakistán
586;600;PRY;Paraguai;Paraguay;Paraguay
589;604;PER;Peru;Peru;Perú
599;258;PYF;Polinésia Francesa;French Polynesia;Polinesia Francesa
603;616;POL;Polônia;Poland;Polonia
607;620;PRT;Portugal;Portugal;Portugal
623;404;KEN;Quênia;Kenya;Kenya
625;417;KGZ;Quirguistão;Kyrgyzstan;Kirguistán
628;826;GBR;Reino Unido;United Kingdom;Reino Unido
640;140;CAF;República Centro-Africana;Central African Republic;República Centroafricana
647;214;DOM;República Dominicana;Dominican Republic;República Dominicana
660;638;REU;Reunião;Reunion;Reunión
670;642;ROU;Romênia;Romania;Rumania
675;646;RWA;Ruanda;Rwanda;Ruanda
676;643;RUS;Rússia;Russia;Rusia
677;90;SLB;Salomão, Ilhas;Solomon Islands;Salomón, Islas
690;882;WSM;Samoa;Samoa;Samoa
697;674;SMR;San Marino;San Marino;San Marino
710;654;SHN;Santa Helena;Saint Helena;Santa Helena, Ascención y Tristán de Acuña
715;662;LCA;Santa Lúcia;Saint Lucia;Santa Lucia
695;659;KNA;São Cristóvão e Névis;Saint Christopher and Nevis;Saint Kitts y Nevis
700;666;SPM;São Pedro e Miquelon;Saint Pierre and Miquelon;Saint Pierre y Miquelon
720;678;STP;São Tomé e Príncipe;São Tome and Principe;Santo Tomé y Príncipe
705;670;VCT;São Vicente e Granadinas;Saint Vicent and the Granadines;San Vicente y las Granadinas
731;690;SYC;Seicheles;Seychelles;Seychelles
728;686;SEN;Senegal;Senegal;Senegal
735;694;SLE;Serra Leoa;Sierra Leone;Sierra Leona
737;688;SRB;Sérvia;Serbia;Serbia
699;534;SXM;Sint Maarten;Sint Maarten;Sint Maarten
744;760;SYR;Síria;Syria;Siria
748;706;SOM;Somália;Somalia;Somalia
750;144;LKA;Sri Lanka;Sri Lanka;Sri Lanka
754;748;SWZ;Suazilândia;Swaziland;Swazilandia
759;729;SDN;Sudão;Sudan;Sudán
760;728;SSD;Sudão do Sul;South Sudan;Sudán del Sur
764;752;SWE;Suécia;Sweden;Suecia
767;757;CHE;Suíça;Switzerland;Suiza
770;740;SUR;Suriname;Suriname;Suriname
772;762;TJK;Tadjiquistão;Tajikistan;Tayikistán
776;764;THA;Tailândia;Thailand;Tailandia
161;158;TWN;Taiwan (Formosa);Taiwan;Taiwán
780;834;TZA;Tanzânia;Tanzania;Tanzanía
791;203;CZE;Tcheca, República;Czech Republic;República Checa
790;200;CSK;Tchecoslováquia;Czechoslovakia;Checoslovaquia
795;626;TLS;Timor Leste;East Timor;Timor Leste
800;768;TGO;Togo;Togo;Togo
810;776;TON;Tonga;Tonga;Tonga
805;772;TKL;Toquelau;Tokelau;Tokelau
815;780;TTO;Trinidad e Tobago;Trinidad and Tobago;Trinidad y Tobago
820;788;TUN;Tunísia;Tunisia;Túnez
823;796;TCA;Turcas e Caicos, Ilhas;Turks and Caicos, Islands;Turcas y Caicos, Islas
824;795;TKM;Turcomenistão;Turkmenistan;Turkmenistán
827;792;TUR;Turquia;Turkey;Turquía
828;798;TUV;Tuvalu;Tuvalu;Tuvalu
831;804;UKR;Ucrânia;Ukraine;Ucrania
833;800;UGA;Uganda;Uganda;Uganda
845;858;URY;Uruguai;Uruguay;Uruguay
847;860;UZB;Uzbequistão;Uzbekistan;Uzbekistán
551;548;VUT;Vanuatu;Vanuatu;Vanuatu
848;336;VAT;Vaticano;Vatican City;Santa Sede (Vaticano)
850;862;VEN;Venezuela;Venezuela;Venezuela
858;704;VNM;Vietnã;Vietnam;Viet Nam
866;850;VIR;Virgens, Ilhas (Americanas);Virgin Islands (USA);Vírgenes de los Estados Unidos, Islas
863;92;VGB;Virgens, Ilhas (Britânicas);Virgin Islands (UK);Vírgenes Británicas, Islas
875;876;WLF;Wallis e Futuna, Ilhas;Wallis and Futuna;Wallis y Futuna
890;894;ZMB;Zâmbia;Zambia;Zambia
665;716;ZWE;Zimbábue;Zimbabwe;Zimbabwe
895;592;PCZ;Zona do Canal do Panamá;Panama Canal Zone;Zona del Canal de Panamá
